DeptTag,CourseNum,CourseName,PreReqs,reqsFilled,TermsOffered
JAPN,345,Advanced Reading in Modern Japanese Literature: The Short Story,Prerequisites: Japanese 206 or the equivalent.,['LAA'],['Spring 2020']
,,,,,
CHIN,347,Advanced Chinese: Reading the News,Prerequisites: Chinese 206 or equivalent,[],['Fall 2019']
,,,,,
JAPN,347,Advanced Reading in Contemporary Japanese Prose: Newspapers,None,[],[]
,,,,,
CHIN,348,Advanced Chinese: The Mass Media,Prerequisites: Chinese 206 or equivalent,['LAA'],[]
,,,,,
CHIN,349,Advanced Chinese: Social Commentary,None,['HUM'],[]
,,,,,
JAPN,350,Pilgrimage & Sacred Space in Japan Program: Advanced Japanese through Place-Based Learning in Kyoto,Prerequisites: Japanese 206 or equivalent.,[],[]
,,,,,
JAPN,351,Advanced Japanese through Documentary Film,None,[],[]
,,,,,
JAPN,353,Thinking about Environmental Issues in Japanese,Prerequisites: Japanese 206 or equivalent.,[],['Winter 2020']
,,,,,
JAPN,354,Japanese Food Culture,Prerequisites: Japanese 206 or equivalent,['INS'],[]
,,,,,
CHIN,355,Contemporary Chinese Short Stories,Prerequisites: Chinese 206 or equivalent,['LAA'],['Spring 2020']
,,,,,
CHIN,360,Classical Chinese,Prerequisites: Chinese 206 or equivalent.,['LAA'],['Winter 2020']
,,,,,
CHIN,361,Advanced Chinese: Readings in Twentieth Century Literature,Prerequisites: Chinese 206 or equivalent,['LAA'],[]
,,,,,
CHIN,362,Advanced Chinese: Traditional Culture in Modern Language,Prerequisites: Chinese 206 or equivalent,['LAA'],[]
,,,,,
CHIN,363,Conversation and Composition: The Liberal Arts in Chinese,Prerequisites: Chinese 206 or equivalent.,[],[]
,,,,,
ASST,100,The Cultural Life of Plants in China,None,"['A&I', 'WRC', 'INS']",['Fall 2019']
,,,,,
ASST,130,India Program: Tourism and Development in India,None,"['HUM', 'INS']",[]
,,,,,
ASST,135,Exploring India: Orientation/Orientalism,None,"['HUM', 'INS']",[]
,,,,,
ASST,282,"Art History in Kyoto Program: Religion, Politics and Architecture in Pre-Modern Japan",None,"['HUM', 'INS']",[]
,,,,,
ASST,284,Japanese Linguistics in Kyoto Seminar: History and Culture of Japan,None,"['HUM', 'INS']",['Spring 2020']
,,,,,
ASST,286,Pilgrimage and Sacred Space in Japan Program: Topics in Japanese Religion and Culture,Prerequisites: Participation in OCS Program,"['HUM', 'INS']",[]
,,,,,
ASST,319,Buddhist Studies India Program: History of South Asian Buddhism,Prerequisites: Acceptance into the Buddhist Studies India Program required,[],['Fall 2019']
,,,,,
ASST,391,Buddhist Studies India Program: Independent Study Project,Prerequisites: Acceptance into the Global Engagement Program required,[],['Fall 2019']
,,,,,
ASST,400,Integrative Exercise,None,[],['Fall 2019']
,,,,,
BIOL,100,What Would Nature Do? Learning From the Natural World,Prerequisites: Requires concurrent registration in IDSC 198,"['A&I', 'WRC']",['Fall 2019']
,,,,,
BIOL,101,Human Reproduction and Sexuality,None,['QRE'],[]
,,,,,
BIOL,125,"Genes, Evolution, and Development and Lab",None,"['QRE', 'LAB']",['Winter 2020']
,,,,,
BIOL,125,"Genes, Evolution, and Development: A Problem Solving Approach and Lab",None,"['QRE', 'LAB']",['Fall 2019']
,,,,,
BIOL,126,Energy Flow in Biological Systems and Lab,Prerequisites: Chemistry 123 or 128,"['QRE', 'LAB']","['Winter 2020', 'Spring 2020']"
,,,,,
BIOL,210,Global Change Biology,"Prerequisites: One introductory science lab course (Biology 125, 126, Chemistry 123, 128, Geology 110, 115 or 120)",['QRE'],['Winter 2020']
,,,,,
BIOL,215,Agroecology,"Prerequisites: One introductory science lab course (Biology 125, 126, Chemistry 123, 128, Geology 110, 115 or 120). Requires concurrent registration in BIOL 216",['QRE'],['Fall 2019']
,,,,,
BIOL,216,Agroecology Lab,Prerequisites: Concurrent registration in Biology 215 is required,[],['Fall 2019']
,,,,,
BIOL,224,Landscape Ecology,Prerequisites: Biology 125 and Biology 126 or permission of the instructor; Requires concurrent registration in Biology 225,['QRE'],['Fall 2019']
,,,,,
BIOL,225,Landscape Ecology Laboratory,Prerequisites: Requires concurrent registration in Biology 224,[],['Fall 2019']
,,,,,
BIOL,234,Microbiology with Laboratory,Prerequisites: Biology 125 and 126 and concurrent registration in Biology 235,"['QRE', 'LAB']",[]
,,,,,
BIOL,235,Microbiology Laboratory,None,[],[]
,,,,,
BIOL,238,Entomology,Prerequisites: Biology 125 and 126 and concurrent registration in Biology 239,['QRE'],[]
,,,,,
BIOL,239,Entomology Laboratory,Prerequisites: Concurrent registration Biology 238,[],[]
,,,,,
BIOL,240,Genetics,Prerequisites: Biology 125 and 126 or instructor permission,['QRE'],"['Winter 2020', 'Spring 2020']"
,,,,,
BIOL,241,Genetics Laboratory,None,[],"['Winter 2020', 'Spring 2020']"
,,,,,
BIOL,242,Vertebrate Morphology,Prerequisites: Biology 125 and 126 ,[],['Spring 2020']
,,,,,
BIOL,243,Vertebrate Morphology Laboratory,None,[],['Spring 2020']
,,,,,
BIOL,244,Biostatistics,Prerequisites: Biology 125 and 126 and one Biology 200 or 300 level course,"['FSR', 'QRE']",[]
,,,,,
BIOL,248,Behavioral Ecology,Prerequisites: Biology 125 and 126,['QRE'],['Winter 2020']
,,,,,
BIOL,262,Ecological Physiology,Prerequisites: Biology 125 and 126 and concurrent registration in Biology 263 required,['LAB'],['Fall 2019']
,,,,,
BIOL,263,Ecological Physiology Laboratory,Prerequisites: Biology 125 and 126. Requires concurrent registration in Biology 262,['LAB'],['Fall 2019']
,,,,,
BIOL,272,Integrative Animal Physiology,Prerequisites: Biology 125 and 126,[],[]
,,,,,
BIOL,273,Integrative Animal Phys Lab,None,[],[]
,,,,,
BIOL,280,Cell Biology,Prerequisites: Biology 125 and 126 and concurrent registration in Biology 281,['QRE'],['Fall 2019']
,,,,,
BIOL,281,Cell Biology Laboratory,Prerequisites: Biology 125 and 126,[],['Fall 2019']
,,,,,
BIOL,303,Reflective Learning and ePortfolio Development for Biologists,Prerequisites: Junior or Senior Biology Major,[],[]
,,,,,
BIOL,310,Immunology,Prerequisites: Biology 125 and 126 and either Biology 240 or 280,['QRE'],['Winter 2020']
,,,,,
BIOL,311,Immunology Laboratory,None,[],[]
,,,,,
BIOL,321,Ecosystem Ecology,"Prerequisites: Biology 126 and one 200 level course in Biology or Geology 230, 258, 285 or Environmental Studies 244, 254, 260, 265, 288","['QRE', 'WRC']",[]
,,,,,
BIOL,322,Ecosystem Ecology Laboratory,None,[],[]
,,,,,
BIOL,332,Human Physiology,Prerequisites: Concurrent registration in Biology 333; Biology 125 and 126,['QRE'],['Winter 2020']
,,,,,
BIOL,333,Human Physiology Laboratory,None,[],['Winter 2020']
,,,,,
BIOL,338,Genomics and Bioinformatics,"Prerequisites: Biology 125 and 126 and one of these upper level courses: Biology 240, Biology 321 or Biology 350 and concurrent registration in Biology 339","['QRE', 'LAB']",['Spring 2020']
,,,,,
BIOL,339,Genomics and Bioinformatics Laboratory,None,[],['Spring 2020']
,,,,,
BIOL,342,Animal Developmental Biology,"Prerequisites: Biology 125 and 126, and Biology 240 or 280",['QRE'],['Spring 2020']
,,,,,
BIOL,343,Animal Developmental Biology Laboratory,"Prerequisites: Biology 125 and 126, and Biology 240 or 280; Concurrent registration in Biology 342",[],[]
,,,,,
BIOL,350,Evolution,Prerequisites: Biology 125 and 126 ,['QRE'],['Fall 2019']
,,,,,
BIOL,352,Population Ecology,"Prerequisites: Biology 125 and 126, and Mathematics 111 or other previous calculus course. Recommended course: Mathematics 215 or equivalent exposure to statistical analysis. Concurrent registration in Biology 353",['QRE'],['Spring 2020']
,,,,,
BIOL,353,Population Ecology Laboratory,None,[],['Spring 2020']
,,,,,
BIOL,354,Human Cutaneous Biology,Prerequisites: Chemistry 233 and two upper division Biology courses (200 or 300-level) and instructor’s permission required,[],['Spring 2020']
,,,,,
BIOL,355,Seminar: The Plant-Animal Interface,"Prerequisites: Biology 125, Biology 126 and a 200-level course in Biology",[],['Winter 2020']
,,,,,
BIOL,358,Seminar: Evolution of Sex and Sexes,Prerequisites: Biology 240 or Biology 350,['QRE'],[]
,,,,,
BIOL,363,Seminar: Ecomechanics,Prerequisites: Biology 125 and 126 and one additional 200 or 300 level Biology course or instructor permission,['QRE'],['Spring 2020']
,,,,,
BIOL,365,Seminar: Topics in Neuroscience,Prerequisites: Biology 125 and 126,['QRE'],['Fall 2019']
,,,,,
BIOL,366,Seminar: Conservation Biology,"Prerequisites: One previous upper-level course in ecology or evolution, from Biology 210, 248, 321, 350 or 352",[],[]
,,,,,
BIOL,368,Seminar: Developmental Neurobiology,Prerequisites: Biology 240 or Biology 280,['QRE'],['Winter 2020']
,,,,,
BIOL,370,Seminar: Selected Topics in Virology,Prerequisites: Biology 240 or 280,['QRE'],['Spring 2020']
,,,,,
BIOL,372,Seminar: Structural Biology,"Prerequisites: Biology 125 and 126; and either Biology 280, Biology 380 or Chemistry 320",['QRE'],['Winter 2020']
,,,,,
BIOL,373,Seminar: Stem Cell Biology,Prerequisites: Biology 125 and 126 and either Biology 240 or 280,['QRE'],[]
,,,,,
BIOL,374,Seminar: Grassland Ecology,"Prerequisites: Biology 125 and 126, and one of Biology 210, 238, 248, 321 or 352 and instructor permission","['QRE', 'WRC']",['Spring 2020']
,,,,,
BIOL,378,Seminar: The Origin and Early Evolution of Life,"Prerequisites: Biology 125 and 126 and one additional 200- or 300-level Biology course, or permission of the instructor",['QRE'],[]
,,,,,
BIOL,379,Seminar: Behavioral Genetics,Prerequisites: Biology 240,['QRE'],[]
,,,,,
BIOL,380,Biochemistry,Prerequisites: Biology 125 and 126 and Chemistry 233 and 234,[],['Fall 2019']
,,,,,
BIOL,381,Biochemistry Laboratory,None,[],['Fall 2019']
,,,,,
BIOL,382,Seminar: Molecular Biology,Prerequisites: Biology 240,[],['Fall 2019']
,,,,,
BIOL,385,Seminar: Microbial Pathology,Prerequisites: Biology 125 and 126 and either Biology 240 or 280,['QRE'],[]
,,,,,
BIOL,386,Neurobiology,Prerequisites: Biology 125 and 126 ,['QRE'],['Spring 2020']
,,,,,
BIOL,387,Neurobiology Laboratory,None,[],['Spring 2020']
,,,,,
BIOL,394,Biology Research,None,[],['Fall 2019']
,,,,,
BIOL,395,Research Experience Seminar in Biology,Prerequisites: Biology 125 and 126,['QRE'],['Fall 2019']
,,,,,
BIOL,399,Critical Reading and Analysis of Primary Literature,"Prerequisites: Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400",[],"['Fall 2019', 'Winter 2020', 'Spring 2020']"
,,,,,
BIOL,400,Integrative Exercise,None,[],"['Fall 2019', 'Winter 2020', 'Spring 2020']"
,,,,,
CHEM,113,Concepts of Chemistry & Lab,None,"['QRE', 'LAB']",['Winter 2020']
,,,,,
CHEM,122,An Introduction to Chemistry,"Prerequisites: Students with high school chemistry should probably take Chemistry 123 or 128. (Determined by the self-administered Chemistry Placement Evaluation, Chemistry Home Page).",['QRE'],['Fall 2019']
,,,,,
CHEM,123,Principles of Chemistry I and Lab,Prerequisites: Adequate secondary school preparation as indicated by the self-administered Chemistry Placement Evaluation (Chemistry Home Page) or Chemistry 122. ,"['QRE', 'LAB']","['Winter 2020', 'Spring 2020']"
,,,,,
CHEM,123,Principles of Chemistry I With Problem Solving & Lab,Prerequisites: Adequate secondary school preparation as indicated by the self-administered Chemistry Placement Evaluation (Chemistry Home Page) or Chemistry 122,"['QRE', 'LAB']",['Winter 2020']
,,,,,
CHEM,128,Principles of Environmental Chemistry & Lab,Prerequisites: Adequate secondary school preparation as indicated by the self-administered Chemistry Placement Exam (Chemistry Home Page) or Chemistry 122.,"['QRE', 'LAB']",['Fall 2019']
,,,,,
CHEM,224,Principles of Chemistry II and Lab,Prerequisites: Chemistry 123 or Chemistry 128,"['QRE', 'LAB']","['Fall 2019', 'Spring 2020']"
,,,,,
CHEM,233,Organic Chemistry I & Lab,Prerequisites: Chemistry 123 or 128 ,"['QRE', 'LAB']","['Fall 2019', 'Winter 2020']"
,,,,,
CHEM,234,Organic Chemistry II & Lab,Prerequisites: Chemistry 233,"['QRE', 'LAB']","['Winter 2020', 'Spring 2020']"
,,,,,
CHEM,259,Molecular Visualizations,Prerequisites: Chemistry 234 or Biology 126,[],[]
,,,,,
CHEM,300,Chemistry Research,Prerequisites: Chemistry 234. Admission based on submitted application and interview. All students will waitlist,"['QRE', 'LAB']",[]
,,,,,
CHEM,301,Chemical Kinetics Laboratory,Prerequisites: Chemistry 224 (230) and 233 and Mathematics 120 (121),"['QRE', 'WRC']",['Fall 2019']
,,,,,
CHEM,302,Quantum Spectroscopy Laboratory,None,['QRE'],['Winter 2020']
,,,,,
CHEM,306,Spectrometric Characterization of Chemical Compounds,Prerequisites: Chemistry 234 or instructor permission,['QRE'],['Winter 2020']
,,,,,
CHEM,320,Biological Chemistry,Prerequisites: Chemistry 234 and either Chemistry 224 (230) or Biology 380,['QRE'],['Spring 2020']
,,,,,
CHEM,321,Biological Chemistry Laboratory,Prerequisites: Chemistry 234 and either Chemistry 224 (230) or Biology 380,['QRE'],['Spring 2020']
,,,,,
CHEM,324,Chemistry and Biology of Antibiotics,Prerequisites: Chemistry 234,['QRE'],[]
,,,,,
CHEM,330,Instrumental Chemical Analysis,Prerequisites: Chemistry 224 (230) and Chemistry 233. Requires concurrent registration in Chemistry 331,['QRE'],['Winter 2020']
,,,,,
CHEM,331,Instrumental Chemical Analysis Laboratory,"Prerequisites: Chemistry 224 (230), 233 and concurrent registration in  Chemistry 330",['QRE'],['Winter 2020']
,,,,,
CHEM,338,Introduction to Computers and Electronics in Chemical Instrumentation,Prerequisites: Chemistry 224 (230),"['QRE', 'LAB']",[]
,,,,,
