Department,Course Number,Course Name,Term,Liberal Arts Requirements,Class Period,Professor,Description
CHEM,400.02,Integrative Exercise,Winter 2020,,5a,Matt Whited,[under construction]
CHEM,400.03,Integrative Exercise,Winter 2020,,5a,"Steven M Drew', 'Deborah S Gross",[under construction]
CHEM,400.04,Integrative Exercise,Winter 2020,,5a,Chris Calderone,[under construction]
CHEM,123.54,Principles of Chemistry I and Lab,Spring 2020,"LAB, QRE",2a,Chris Calderone,[under construction]
CHEM,123.59,Principles of Chemistry I and Lab,Spring 2020,"LAB, QRE",2a,Chris Calderone,[under construction]
CHEM,224.53,Principles of Chemistry II and Lab,Spring 2020,"LAB, QRE",1a,Steven M Drew,[under construction]
CHEM,224.54,Principles of Chemistry II and Lab,Spring 2020,"LAB, QRE",1a,Steven M Drew,[under construction]
CHEM,224.59,Principles of Chemistry II and Lab,Spring 2020,"LAB, QRE",1a,Steven M Drew,[under construction]
CHEM,234.52,Organic Chemistry II & Lab,Spring 2020,"LAB, QRE",3a,Kim Huynh,[under construction]
CHEM,234.57,Organic Chemistry II & Lab,Spring 2020,"LAB, QRE",3a,Kim Huynh,[under construction]
CHEM,320.0,Biological Chemistry,Spring 2020,QRE,2a,Joe Chihade,[under construction]
CHEM,321.01,Biological Chemistry Laboratory,Spring 2020,QRE,Unable to determine class period,Joe Chihade,[under construction]
CHEM,321.02,Biological Chemistry Laboratory,Spring 2020,QRE,Unable to determine class period,Joe Chihade,[under construction]
CHEM,348.0,Introduction to Computational Chemistry,Spring 2020,QRE,3a,Daniela L Kohen,[under construction]
CHEM,349.01,Computational Chemistry Laboratory,Spring 2020,QRE,Unable to determine class period,Daniela L Kohen,[under construction]
CHEM,349.02,Computational Chemistry Laboratory,Spring 2020,QRE,Unable to determine class period,Daniela L Kohen,[under construction]
CHEM,350.0,Chemical and Biosynthesis,Spring 2020,QRE,5a,David G Alberg,[under construction]
CHEM,351.0,Inorganic Chemistry,Spring 2020,QRE,4a,Matt Whited,[under construction]
CHEM,352.01,Laboratory in Advanced Inorganic Chemistry,Spring 2020,QRE,Unable to determine class period,Matt Whited,[under construction]
CHEM,352.02,Laboratory in Advanced Inorganic Chemistry,Spring 2020,QRE,Unable to determine class period,Matt Whited,[under construction]
CHEM,400.01,Integrative Exercise,Spring 2020,,Unable to determine class period,,[under construction]
CHEM,400.02,Integrative Exercise,Spring 2020,,5a,,[under construction]
CHEM,400.03,Integrative Exercise,Spring 2020,,5a,,[under construction]
CHEM,400.04,Integrative Exercise,Spring 2020,,5a,,[under construction]
CHEM,400.05,Integrative Exercise,Spring 2020,,5a,,[under construction]
CHIN,101.01,Elementary Chinese,Fall 2019,,1a,Mark  Hansell,[under construction]
CHIN,204.01,Intermediate Chinese,Fall 2019,,3a,"Shaohua  Guo', 'Lei  Yang",[under construction]
CHIN,204.02,Intermediate Chinese,Fall 2019,,4a,"Shaohua  Guo', 'Lei  Yang",[under construction]
CHIN,250.0,Chinese Popular Culture in Translation,Fall 2019,"LAA, INS",4/5c,Shaohua  Guo,[under construction]
CHIN,280.0,Chinese Literacy,Fall 2019,,Unable to determine class period,Mark  Hansell,[under construction]
CHIN,347.0,Advanced Chinese: Reading the News,Fall 2019,ARP,5a,Mark  Hansell,[under construction]
CHIN,102.01,Elementary Chinese,Winter 2020,,1a,Mark  Hansell,[under construction]
CHIN,205.01,Intermediate Chinese,Winter 2020,,3a,"Lei  Yang', 'Shaohua  Guo",[under construction]
CHIN,205.02,Intermediate Chinese,Winter 2020,,4a,"Lei  Yang', 'Shaohua  Guo",[under construction]
CHIN,360.0,Classical Chinese,Winter 2020,LAA,5a,Lei  Yang,[under construction]
CHIN,103.01,Elementary Chinese,Spring 2020,,1a,Lei  Yang,[under construction]
CHIN,206.0,Chinese in Cultural Context,Spring 2020,ARP,3a,Shaohua  Guo,[under construction]
CHIN,258.0,Classical Chinese Thought: Wisdom and Advice from Ancient Masters,Spring 2020,"HUM, INS",4/5c,Lei  Yang,[under construction]
CHIN,355.0,Contemporary Chinese Short Stories,Spring 2020,LAA,2a,Shaohua  Guo,[under construction]
CAMS,100.0,American Film Genres,Fall 2019,"A&I, WRC, IDS",2a,Carol  Donelan,[under construction]
CAMS,110.0,Introduction to Cinema and Media Studies,Fall 2019,"LAA, WRC",2/3c,Jay S Beck,[under construction]
CAMS,111.01,Digital Foundations,Fall 2019,ARP,4/5c,Carl H Elsaesser,[under construction]
CAMS,177.0,Television Studio Production,Fall 2019,ARP,1a,Paul  Hager,[under construction]
CAMS,215.0,American Television History,Fall 2019,"LAA, IDS",3a,Candace I Moore,[under construction]
CAMS,270.0,Nonfiction,Fall 2019,ARP,2/3c,Laska  Jimsen,[under construction]
CAMS,278.0,Writing for Television,Fall 2019,"ARP, WRC",1/2c,Andrew L Rosendorf,[under construction]
CAMS,291.11,Independent Study,Fall 2019,,Unable to determine class period,Jay S Beck,[under construction]
CAMS,291.12,Independent Study,Fall 2019,,Unable to determine class period,Jay S Beck,[under construction]
CAMS,291.13,Independent Study,Fall 2019,,Unable to determine class period,Laska  Jimsen,[under construction]
CAMS,370.0,Advanced Production Workshop I,Fall 2019,ARP,5a,Laska  Jimsen,[under construction]
CAMS,391.11,Independent Study,Fall 2019,,Unable to determine class period,Carol  Donelan,[under construction]
CAMS,400.0,Integrative Exercise,Fall 2019,,Unable to determine class period,,[under construction]
CAMS,400.02,Integrative Exercise,Fall 2019,,Unable to determine class period,Carl H Elsaesser,[under construction]
CAMS,400.03,Integrative Exercise,Fall 2019,,Unable to determine class period,Carol  Donelan,[under construction]
CAMS,400.04,Integrative Exercise,Fall 2019,,Unable to determine class period,Candace I Moore,[under construction]
CAMS,110.0,Introduction to Cinema and Media Studies,Winter 2020,"LAA, WRC",4a,Carol  Donelan,[under construction]
CAMS,111.01,Digital Foundations,Winter 2020,ARP,2/3c,Laska  Jimsen,[under construction]
CAMS,111.02,Digital Foundations,Winter 2020,ARP,5a,Carl H Elsaesser,[under construction]
CAMS,177.0,Television Studio Production,Winter 2020,ARP,1a,Paul  Hager,[under construction]
CAMS,214.0,Film History III,Winter 2020,"LAA, INS",4a,Jay S Beck,[under construction]
CAMS,265.0,Sound Design,Winter 2020,ARP,2a,Jay S Beck,[under construction]
CAMS,273.0,Digital Editing Workshop,Winter 2020,ARP,5/6c,Carl H Elsaesser,[under construction]
CAMS,291.11,Independent Study,Winter 2020,,Unable to determine class period,Carol  Donelan,[under construction]
CAMS,330.0,Cinema Studies Seminar,Winter 2020,LAA,5a,Carol  Donelan,[under construction]
CAMS,371.0,Advanced Production Workshop II,Winter 2020,ARP,4/5c,Laska  Jimsen,[under construction]
CAMS,400.0,Integrative Exercise,Winter 2020,,Unable to determine class period,,[under construction]
CAMS,111.01,Digital Foundations,Spring 2020,ARP,4a,Cecilia M Cornejo,[under construction]
CAMS,111.02,Digital Foundations,Spring 2020,ARP,4/5c,Laska  Jimsen,[under construction]
CAMS,211.0,Film History II,Spring 2020,"LAA, INS",4a,Carol  Donelan,[under construction]
