Department,Course Number,Course Name,Term,Liberal Arts Requirements,Class Period,Professor,Description
AMST,254.0,The 1930s:  Social and Cultural Impact of the Great Depression,Spring 2020,"HUM, WRC, IDS",4a,Elizabeth  McKinsey,"Through cultural manifestations--literature, painting, movies, radio, historic preservation, and music--we will trace progress from shock and despair to hope in the ‘30s and see how Americans of all races and classes coped with the disruptions and opportunities of economic cataclysm, political shifts, new social programs and expectations, and technology. Materials will include texts on the New Deal, labor, the Great Migration and race relations; fiction, essays, and plays by Steinbeck, Nathaniel West, James Agee, Thornton Wilder', ' Meridel LeSueur, Hurston, and Wright', ' popular movies and music; and photography, painting, Art Deco, and the 1939 World’s Fair."
ARBC,100.0,Arabs Encountering the West,Fall 2019,"WRC, AI, INS",5a,Zaki A Haidar,"The encounter between Arabs and Westerners has been marked by its fair share of sorrow and suspicion. In this seminar we will read literary works by Arab authors written over approximately 1000 years--from the Crusades, the height of European imperialism, and on into the age of Iraq, Obama and ISIS. Through our readings and discussions, we will ask along with Arab authors: Is conflict between Arabs and Westerners the inevitable and unbridgeable result of differing world-views, religions and cultures? Are differences just a result of poor communication? Or is this ""cultural conflict"" something that can be understood historically?"
ARBC,101.01,Elementary Arabic,Fall 2019,,1a,Zaki A Haidar,"This is the first course in the Elementary Arabic sequence. This sequence introduces non-Arabic speakers to the sounds, script, and basic grammar of Arabic-the language of 200 million speakers in the Arab world and the liturgical language of over a billion Muslims. Students will develop basic listening, speaking, reading and writing skills in Modern Standard Arabic. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music."
ARBC,101.02,Elementary Arabic,Fall 2019,,3a,"Yaron  Klein', 'Sahar H Ramadan","This is the first course in the Elementary Arabic sequence. This sequence introduces non-Arabic speakers to the sounds, script, and basic grammar of Arabic-the language of 200 million speakers in the Arab world and the liturgical language of over a billion Muslims. Students will develop basic listening, speaking, reading and writing skills in Modern Standard Arabic. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music."
ARBC,204.01,Intermediate Arabic,Fall 2019,,4a,"Yaron  Klein', 'Sahar H Ramadan", Arabic 103 or equivalent
ARBC,204.02,Intermediate Arabic,Fall 2019,,1a,Sahar H Ramadan, Arabic 103 or equivalent
ARBC,102.01,Elementary Arabic,Winter 2020,,1a,Sahar H Ramadan, Arabic 101 or equivalent
ARBC,102.02,Elementary Arabic,Winter 2020,,3a,Sahar H Ramadan, Arabic 101 or equivalent
ARBC,205.01,Intermediate Arabic,Winter 2020,,3a,Yaron  Klein, Arabic 204 or equivalent
ARBC,205.02,Intermediate Arabic,Winter 2020,,5a,Zaki A Haidar, Arabic 204 or equivalent
ARBC,387.0,The One Thousand and One Nights,Winter 2020,"LAA, INS",5a,Yaron  Klein,"This course is an exploration of the world of the Thousand and One Nights, the most renowned Arabic literary work of all time. The marvelous tales spun by Shahrazad have captured and excited the imagination of readers and listeners--both Arab and non-Arab--for centuries. In class, we will read in Arabic, selections from the Nights, and engage some of the scholarly debates surrounding this timeless work. We will discuss the question of its origin in folklore and popular culture and the mystery of its ""authorship,"" as well as the winding tale of its reception, adaptation and translation. Readings and class discussions will be in both Arabic and English."
ARBC,103.01,Elementary Arabic,Spring 2020,,1a,Zaki A Haidar, Arabic 102 or equivalent
ARBC,103.02,Elementary Arabic,Spring 2020,,2a,Zaki A Haidar, Arabic 102 or equivalent
ARBC,185.0,The Creation of Classical Arabic Literature,Spring 2020,"LAA, INS",3a,Yaron  Klein,In Translation.
ARBC,206.0,Arabic in Cultural Context,Spring 2020,,2a,Sahar H Ramadan, Arabic 205 or equivalent
ARBC,212.0,Colloquial Egyptian Arabic,Spring 2020,,4a,Sahar H Ramadan,"In this course we will focus on acquiring conversational and listening comprehension skills, and building vocabulary in Egyptian Arabic, the spoken dialect of Egypt and one of the most widely understood dialects across the Arab world. Building upon the foundation of Modern Standard Arabic, we will focus upon points of grammatical and semantic convergence and divergence, and work to develop strategies for fluidly navigating our ways between and within these two linguistic registers. We will study the language systematically, but we will also incorporate a range of written and audiovisual materials--music, films, television and web series--as well as other popular culture from the region."
ARCN,395.0,"Archaeology: Science, Ethics, Nationalism and Cultural Property",Spring 2020,,1a,"Alex R Knodell', 'Mary E Savina","This seminar course will focus on a wide range of contemporary issues in archaeology, including case studies from many continents and time periods that shed light on archaeological theory and practice. Specific course content varies. The course serves as the capstone seminar for the Archaeology Minor; enrollment is also open to non-minors."
ARTH,100.01,"Renaissance, Revolution, and Reformation: The Life and Art of Albrecht Dürer",Fall 2019,"WRC, AI, INS",3a,Jessica F Keating,"""If man devotes himself to art, much evil is avoided..."" This statement, on the divine nature of art, was penned by the German artist Albrecht Dürer. Dürer\'s artworks--his paintings, his drawings, his woodblock prints, and his engravings--have been construed to be some of the most theologically sophisticated, naturalistically rendered, theoretically informed, classically inflected, and socially engaged of the period we now refer to as the ""Renaissance."" This thematically organized course will engage the work of Albrecht Dürer, around these issues. Discussions will be integrated with student presentations, analyses of primary and scholarly texts, and writing assignments."
ARTH,100.02,Laughing Matters: The History of Political Caricature,Fall 2019,"AI, WRC",5a,Baird E Jarman,"For over two centuries political caricature has permeated the popular culture of democratic societies. This course surveys that history, covering topics including revolutionary printmaking, editorial cartooning, political censorship, mock journalism, and anti-cartoon terrorism. We will explore pictorial protests against war, corruption, bigotry, and injustice, as well as graphic ridicule heaped upon political figures ranging from King Louis-Philippe to Boss Tweed to President Trump. But how effective is political caricature? Does it sway minds or merely reinforce extant opinions? When, if ever, does it become objectionable or libelous? Can comically exaggerated or distorted imagery actually reveal subtle insights or hidden truths?"
ARTH,101.0,Introduction to Art History I,Fall 2019,"LAA, WRC, INS",2a,"Baird E Jarman', 'Kathleen M Ryor",
ARTH,214.0,Queer Art,Fall 2019,"LAA, IDS",5/6c,Ross K Elfline,"Beyond surveying the rich history of arts by LGBTQA+ individuals, this course takes as its object of study the ways in which the arts have been used to question, undermine, and subvert the gendered and sexual norms of dominant cultures—in short, to queer them. In so doing, such visual and performative practices offer new, alternative models of living and acting in the world based on liberatory politics and aesthetics. This course will consider topics such as: censorship of queer artists; art of the AIDS crisis; activist performance; the sexual politics of public space; and queer intersections of race, class and gender in visual art among others."
ARTH,232.07,Madrid Program: Spanish Art Live,Fall 2019,,Unable to determine class period,Humberto R Huergo,"This course offers an introduction to Spanish art from el Greco to the present. Classes are taught in some of the finest museums and churches of Spain, including the Prado Museum, the Museo Nacional de Arte Reina Sofía, the Thyssen-Bornemisza Museum, Toledo Cathedral in Toledo, and the Church of Santo Tomé."
ARTH,247.0,Architecture Since 1950,Fall 2019,LAA,2/3c,Ross K Elfline,
ARTH,400.0,Integrative Exercise,Fall 2019,,Unable to determine class period,,
ARTH,102.0,Introduction to Art History II,Winter 2020,"LAA, WRC, INS",2a,"Jessica F Keating', 'Kathleen M Ryor",
ARTH,209.0,Chinese Painting,Winter 2020,"LAA, INS",4a,Kathleen M Ryor, Any one term of art history
ARTH,235.0,"Revival, Revelation, and Re-animation: The Art of Europe's ""Renaissance""",Winter 2020,"LAA, INS",5a,Jessica F Keating, One Art History course or instructor permission
ARTH,263.07,European Architectural Studies Program: Prehistory to Postmodernism,Winter 2020,,Unable to determine class period,Baird E Jarman,"This course surveys the history of European architecture while emphasizing firsthand encounters with actual structures. Students visit outstanding examples of major transnational styles--including Greek, Roman, Byzantine, Moorish, Romanesque, Gothic, Renaissance, Baroque, Neoclassical and Modernist buildings--along with regionally specific styles, such as Spanish Plateresque, English Tudor and Catalan Modernisme. Cultural and technological changes affecting architectural practices are emphasized along with architectural theory, ranging from Renaissance treatises to Modernist manifestos. Students also visit buildings that resist easy classification and that raise topics such as spatial appropriation, stylistic hybridity, and political symbolism."
ARTH,264.07,European Architectural Studies Program: Managing Monuments: Issues in Cultural Heritage Practice,Winter 2020,,Unable to determine class period,Baird E Jarman,"This course explores the theory and practice of cultural resource management by investigating how various architectural sites and urban historic districts operate. Students will consider cultural, financial, ethical and pedagogical aspects of contemporary tourism practices within a historical framework that roots the travel industry alongside religious pilgrimage customs and the aristocratic tradition of the Grand Tour. Interacting with professionals who help oversee architectural landmarks and archaeological sites, students will analyze and assess initiatives at various locations, ranging from educational programs and preservation plans to sustainability efforts and repatriation debates."
ARTH,400.0,Integrative Exercise,Winter 2020,,Unable to determine class period,Staff,
ARTH,165.0,Japanese Art and Culture,Spring 2020,"LAA, INS",4/5c,Kathleen M Ryor,
ARTH,236.0,Baroque Art,Spring 2020,"LAA, INS",2/3c,Jessica F Keating,"This course examines European artistic production in Italy, Spain, France, and the Netherlands from the end of the sixteenth century through the seventeenth century. The aim of the course is to interrogate how religious revolution and reformation, scientific discoveries, and political transformations brought about a proliferation of remarkably varied types of artistic production that permeated and altered the sacred, political, and private spheres. The class will examine in depth select works of painting, sculpture, prints, and drawings, by Caravaggio, Bernini, Poussin, Velázquez, Rubens, and Rembrandt, among many others."
ARTH,241.0,Contemporary Art for Artists,Spring 2020,LAA,4a,Ross K Elfline,"This course is a survey of major artistic movements after 1945 as well as an introduction to significant tendencies in current art and craft production. The goal of this course is to develop a familiarity with the important debates, discussions, and critical issues facing artists today. By the end of the course, students will be able to relate their own work as cultural producers to these significant contemporary artistic developments. Students will read, write about, and discuss primary sources, artist statements, and theoretical essays covering a wide range of media with the ultimate goal of articulating their own artistic project."
ARTH,265.0,Planning Utopia: Ideal Cities in Theory and Practice,Spring 2020,LAA,1/2c,Baird E Jarman,"This course will survey the history of ideal plans for the built urban environment. Particular attention will be given to examples from about 1850 to the present. Projects chosen by students will greatly influence the course content, but subjects likely to receive sustained attention include: Renaissance ideal cities, conceptions of public and private space, civic rituals, the industrial city, Baron Haussmann’s renovations of Paris, suburbanization, the Garden City movement, zoning legislation, Le Corbusier’s ', ', Frank Lloyd Wright’s Broadacre City, New Urbanism and urban renewal, and planned capitals such as Brasília, Canberra, Chandigarh, and Washington, D.C."
ARTH,298.0,Seminar for Art History Majors,Spring 2020,LAA,2a,Ross K Elfline,An intensive study of the nature of art history as an intellectual discipline and of the approaches scholars have taken to various art historical problems. Attention as well to principles of current art historical research and writing. Recommended for juniors who have declared art history as a major.
ARTH,323.0,Idolatry,Spring 2020,"LAA, WRC, INS",5/6c,Jessica F Keating, 200 level Art History course or instructor permission
ARTH,400.0,Integrative Exercise,Spring 2020,,Unable to determine class period,Staff,
ASLN,111.0,Writing Systems,Winter 2020,SOC,4a,Mark  Hansell,
ASST,100.0,The Cultural Life of Plants in China,Fall 2019,"AI, WRC, INS",1a,Kathleen M Ryor,"This seminar will examine the role of plants have played in China from ancient times through the end of the imperial era.  It will investigate the uses of different types of plants (fruits, vegetables, flowers, grasses, etc.) in such areas as medicine, food, literature, art, and landscape management. We will seek to understand the ways in which plants function across and make connection between various aspects of human activities. In addition, the course will emphasize how plants have actively helped form Chinese cultural practices and systems of meaning throughout various historical periods."
ASST,319.07,Buddhist Studies India Program: History of South Asian Buddhism,Fall 2019,,3a,Arthur P McKeown,"This course provides students with an introduction to the history of South Asian Buddhism. Using primary and secondary sources and resources available to us in Bodh Gaya, we evaluate competing perspectives on the history of Buddhism and debate significant historical and ethical questions. How did Buddhism relate to other ancient Indian religions? What was the relationship between Buddhism and ancient Indian political, social, and economic structures? How did Buddhism change during its 2000 years in India? What impact did South Asian Buddhism have on the ancient and medieval world? What is the relationship between modern Buddhism and ancient Buddhism?"
ASST,391.07,Buddhist Studies India Program: Independent Study Project,Fall 2019,,4a,Arthur P McKeown,"Students spend three weeks of the program engaged in independent study of a topic related to Buddhist Studies, utilizing the unique resources available in India and neighboring countries. At the completion of the Independent Study period, students return to the Burmese Vihar, where their work is reviewed by their advisor and presented to the group."
ASST,400.0,Integrative Exercise,Fall 2019,,4/5c,Arnab  Chakladar,
ASST,400.0,Integrative Exercise,Winter 2020,,4a,Arnab  Chakladar,
ASST,284.07,Japanese Linguistics in Kyoto Seminar: History and Culture of Japan,Spring 2020,,4/5c,Mike Flynn,"This course is an introduction to several aspects of Japanese society, taking advantage of the location of the Linguistics OCS seminar in Kyoto. It consists of readings and lectures about important events in historical and contemporary Japan, and will include visits to sites that illuminate those events in important ways. In addition to Kyoto and nearby places, there will be excursions to Tokyo and Hiroshima. "
ASTR,110.0,Introduction to Astronomy,Fall 2019,"QRE, LAB",3a,Ryan C Terrien,Extra Time Required
ASTR,113.0,Observational and Laboratory Astronomy,Fall 2019,"LAB, QRE",Unable to determine class period,Cindy Blaha," Astronomy 100, 110, 127, 232, 233, Physics 228, 232, 233 or instructor permission"
ASTR,110.0,Introduction to Astronomy,Winter 2020,"QRE, LAB",3a,Cindy Blaha,
ASTR,113.0,Observational and Laboratory Astronomy,Spring 2020,"LAB, QRE",Unable to determine class period,Cindy Blaha," Astronomy 100, 110, 127, 232, 233, Physics 228, 232, 233 or instructor permission"
ASTR,232.0,Astrophysics I,Spring 2020,QRE,4a,Cindy Blaha," Physics 228, 231 (229 and 230) or instructor permission"
BIOL,100.0,What Would Nature Do? Learning From the Natural World,Fall 2019,"AI, WRC",2/3c,"Matt Rand', 'Dimitri S Smirnoff","Humpback whales. Wind turbines. These topics seem unrelated, yet an engineer realized the anatomical features that make a whale so graceful in the sea could make a wind turbine more efficient in the wind. Many of the challenges humans currently face have been solved in the natural world while using less energy and materials. This course examines how today’s problem solvers are learning from millions of biological examples and evolution’s 3.8 billion years of research and development to engineer products, processes, and systems that are conducive to life rather than destructive."
BIOL,125.53,"Genes, Evolution, and Development: A Problem Solving Approach and Lab",Fall 2019,"QRE, LAB",3a,"Jennifer M Wolff', 'Debby R Walser-Kuntz', 'Sarah  Deel","This offering of Biology 125 offers a problem solving approach and covers the same concepts as the winter version of Biology 125. The course format allows time in class to apply new concepts by working through case study type problems with faculty present. Students enter Carleton from a wide variety of academic experiences, and this offering of Biology 125 is designed to provide a level playing field for students regardless of previous science background. In addition, the active learning component of the course is beneficial for students who like to learn by doing. Students who complete this course are well-prepared to continue on to Biology 126."
BIOL,125.54,"Genes, Evolution, and Development: A Problem Solving Approach and Lab",Fall 2019,"QRE, LAB",3a,"Jennifer M Wolff', 'Debby R Walser-Kuntz', 'Annie Bosacker","This offering of Biology 125 offers a problem solving approach and covers the same concepts as the winter version of Biology 125. The course format allows time in class to apply new concepts by working through case study type problems with faculty present. Students enter Carleton from a wide variety of academic experiences, and this offering of Biology 125 is designed to provide a level playing field for students regardless of previous science background. In addition, the active learning component of the course is beneficial for students who like to learn by doing. Students who complete this course are well-prepared to continue on to Biology 126."
BIOL,125.59,"Genes, Evolution, and Development: A Problem Solving Approach and Lab",Fall 2019,"QRE, LAB",3a,"Jennifer M Wolff', 'Debby R Walser-Kuntz', 'Annie Bosacker","This offering of Biology 125 offers a problem solving approach and covers the same concepts as the winter version of Biology 125. The course format allows time in class to apply new concepts by working through case study type problems with faculty present. Students enter Carleton from a wide variety of academic experiences, and this offering of Biology 125 is designed to provide a level playing field for students regardless of previous science background. In addition, the active learning component of the course is beneficial for students who like to learn by doing. Students who complete this course are well-prepared to continue on to Biology 126."
BIOL,215.0,Agroecology,Fall 2019,QRE,4a,David  Hougen-Eitzman,"Agriculture comprises the greatest single type of land use on the planet--as such, what happens on farms will have far-reaching effects on all other systems on the biosphere. With world human population growing exponentially, the search for sustainable agricultural systems is more important than ever. This course focuses on the scientific aspects of food production, which will involve the application of the principles of ecosystem and population ecology to agricultural systems.  Topics covered will include organic farming, biotechnology, and effects of pesticide use. Several types of local farms will be visited--large, small, organic, conventional."
BIOL,216.0,Agroecology Lab,Fall 2019,,Unable to determine class period,David  Hougen-Eitzman,"These lab sessions will mainly involve visits to local area farms. The visits will provide an opportunity to examine biological processes on real farms and the environmental effects of different farming methods. This laboratory portion of the class will include a community engagement aspect, where class groups complete projects that provide services to farmers or community organizations.   "
BIOL,224.0,Landscape Ecology,Fall 2019,QRE,2a,John L Berini,"In the Anthropocene, there has been dramatic change in the distribution of species and communities across the global landscape. The primary objective of this course is to introduce the theory and practice of landscape ecology. Throughout this course, we will consider the major themes of scale and hierarchy theory, compositional analysis, fragmentation, meta-populations, and landscape metrics, all within the broad context of how landscape patterns influence ecological process. "
BIOL,225.0,Landscape Ecology Laboratory,Fall 2019,,Unable to determine class period,John L Berini,Laboratory component of Biology 224.
BIOL,262.0,Ecological Physiology,Fall 2019,LAB,3a,Mike Nishizaki,"This course examines the physiological adaptations that allow species to inhabit a wide range of environments including polar regions, deserts, high alpine, the deep sea, and wave-swept coastal habitats. Emphasis will be placed on understanding how organisms cope with environmental extremes (e.g., temperature, low oxygen, pH, salinity and pressure) and in using metabolic theory to predict the ecological impacts of climate change (e.g., global warming, ocean acidification, hypoxia). Associated laboratory will emphasize experimentation and application of physiological concepts in living organisms. "
BIOL,263.0,Ecological Physiology Laboratory,Fall 2019,LAB,Unable to determine class period,Mike Nishizaki,Experimental approaches to study physiological responses of living organisms to their environment. Students conduct a semi-independent lab project with an emphasis on invertebrates. 
BIOL,280.0,Cell Biology,Fall 2019,QRE,3a,Raka M Mitra, Biology 125 and 126 and concurrent registration in Biology 281
BIOL,281.01,Cell Biology Laboratory,Fall 2019,,Unable to determine class period,Raka M Mitra, Biology 125 and 126
BIOL,350.0,Evolution,Fall 2019,QRE,3a,Mark  McKone, Biology 125 and 126 
BIOL,365.0,Seminar: Topics in Neuroscience,Fall 2019,QRE,2/3c,Fernan Jaramillo,"We will focus on recent advances in neuroscience. All areas of neuroscience (cellular/molecular, developmental, systems, cognitive, and disease) will be considered. Classical or foundational papers will be used to provide background."
BIOL,380.0,Biochemistry,Fall 2019,,4a,Rou-Jia  Sung,"Biochemistry is an examination of the molecular basis of life processes. The course provides an in depth investigation of metabolic pathways, their interrelationships and regulation, protein structure and function with special emphasis on enzymes. Other topics include the techniques of protein analysis and how they are employed to examine problems of fundamental biochemical importance. This course meets the requirement for the Biochemistry concentration."
BIOL,381.01,Biochemistry Laboratory,Fall 2019,,Unable to determine class period,Rou-Jia  Sung, Concurrent registration in Biology 380; Biology 125 and 126 and Chemistry 233 and 234
BIOL,381.02,Biochemistry Laboratory,Fall 2019,,Unable to determine class period,Rou-Jia  Sung, Concurrent registration in Biology 380; Biology 125 and 126 and Chemistry 233 and 234
BIOL,382.0,Seminar: Molecular Biology,Fall 2019,,2/3c,Andrew W Grenfell,"This seminar will explore the molecular underpinnings of biological systems. The main emphasis will be on the mechanisms of DNA replication and recombination, chromosome stability, DNA mutation and repair, the regulation of gene expression, and emerging biotechnologies such as CRISPR-cas. Throughout, we will consider how the molecular details we discuss contribute to the passage and propagation of biological information."
BIOL,395.0,Research Experience Seminar in Biology,Fall 2019,QRE,1/2c,Sarah  Deel, Biology 125 and 126
BIOL,399.0,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Jennifer M Wolff," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.01,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,David  Hougen-Eitzman," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.02,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Debby R Walser-Kuntz," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.03,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Fernan Jaramillo," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.04,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Jennifer M Wolff," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.05,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Matt Rand," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.06,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Mike Nishizaki," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.07,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Rou-Jia  Sung," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,399.08,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Raka M Mitra," Biology 125, 126 and 3-upper-level Biology courses and concurrent registration in Biology 400"
BIOL,400.0,Integrative Exercise,Fall 2019,,Unable to determine class period,,
BIOL,125.52,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand","Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes."
BIOL,125.53,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand', 'Annie Bosacker","Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes."
BIOL,125.54,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand', 'Annie Bosacker","Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes."
BIOL,125.57,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand', 'Sarah  Deel","Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes."
